title,year,genre,actor,imdb_id,kind,matched_by,rating,votes
Tabula Rasa,2017,Mystery Programmes,"Veerle Baetens,Stijn Van Opstal,Jeroen Perceval",5197860,tv series,year and actor match,8.1,7419
Turbo FAST,2013,Kids' TV for ages 8 to 10,"Reid Scott,John Eric Bentley,Amir Talai",3010520,tv series,year and actor match,6.6,434
If I Hadn't Met You,2018,Romance Programmes,"Pablo Derqui,Mercedes Sampietro,Andrea Ros",8517780,tv series,year and actor match,7.7,1340
Itaewon Class,2020,Award-winning TV Programmes,"Park Seo-jun,Kim Da-mi,Yu Jae-myeong",11239552,tv series,year and actor match,8.2,3853
100 Humans,2020,Social & Cultural Documentaries,"Zainab Johnson,Sammy Obeid,Alie Ward",11823088,tv series,year and actor match,5.7,2631
The Dark Crystal: Age of Resistance,2019,Action & Adventure Programmes,"Taron Egerton,Nathalie Emmanuel,Anya Taylor-Joy",6905542,tv series,year and actor match,8.5,19642
The Irishman,2019,Gangster Films,"Robert De Niro,Al Pacino,Joe Pesci",1302006,movie,year and actor match,7.9,302221
Word Party,2016,Little Kids,"Victor Yerrid,Alice Dinnean,Alon Williams",5235950,tv series,year and actor match,6.3,269
High Seas,2019,Spanish-language TV Programmes,"Ivana Baquero,Jon Kortajarena,Alejandra Onieva",8961508,tv series,year and actor match,6.8,5027
Sick Note,2017,Sitcoms,"Rupert Grint,Nick Frost,Don Johnson",5770788,tv series,year and actor match,6.8,5449
George Lopez: We'll Do It For Half,2020,Stand-up & Chat Shows,George Lopez,12358794,movie,year and actor match,5.4,303
Bill Burr: Paper Tiger,2019,Stand-up & Chat Shows,Bill Burr,10847306,movie,year and actor match,8.2,7864
She-Ra and the Princesses of Power,2018,Kids' TV for ages 11 to 12,"Aimee Carrero,AJ Michalka,Marcus Scribner",7745956,tv series,year and actor match,7.7,8574
Eurovision Song Contest: The Story of Fire Saga,2020,Romantic Comedies,"Will Ferrell,Rachel McAdams,Dan Stevens",8580274,movie,year and actor match,6.5,58514
Undercover,2019,Series,"Tom Waes,Anna Drijver,Frank Lammers",7263154,tv series,year and actor match,7.9,7147
Cannon Busters,2019,Anime Action,"Yoshitsugu Matsuoka,Hinaki Yano,Shiori Izawa",5066664,tv series,year and title match,6.8,843
"The Mind, Explained",2019,Social & Cultural Documentaries,Emma Stone,10810430,tv mini series,year and actor match,8.1,3269
Word Party Songs,2020,Little Kids,,12748268,tv series,year match,,
